,0,1
0,0.7794842720031738,us_total red meat
1,0.06342975050210953,"aus_exports of beef, veal and live cattle to US"
2,0.057866182178258896,us_commercial_avg_live_calves
3,0.034740034490823746,us_cold_storage_veal
4,0.01988343708217144,us_livestock_commercial_beef
5,0.006842914968729019,aus_avg_rainfall
6,0.00584432715550065,us_livestock_fedral_inspected_steers
7,0.004715976305305958,us_veganism_trend_ratio
8,0.0023092785850167274,us_production_commercial_total red meat
9,0.0020827294792979956,us_livestock_commercial_calves
10,0.0020776158198714256,aus_labour
11,0.0019405867205932736,us_production_fedral_inspected_total red meat
12,0.001930702244862914,us_fed_avg_dressed_calves
13,0.0017644289182499051,us_fed_avg_dressed_bulls and stags
14,0.0016691014170646667,us_livestock_commercial_lambs and yearlings
15,0.0011331189889460802,us_income per capita
16,0.0010047766845673323,aus_Meat Produced ;  CATTLE (excl. calves) ;  Total (State) Seasonally adjusted (tonnes)
17,0.000950689718592912,us_fed_avg_dressed_cattle
18,0.0007436866872012615,aus_population_natural_increase
19,0.0007305775070562959,aus_population_overseas_arrivals
20,0.0007059238268993795,aus_pasture
21,0.0005812980816699564,aus_population_net overseas migration
22,0.000551137956790626,us_livestock_commercial_steers
23,0.0005506071029230952,us_livestock_commercial_bulls and stags
24,0.0005425728741101921,us_veganism
25,0.0005239424062892795,us_livestock_commercial_mature sheep
26,0.0005077026435174048,aus_Meat Produced ;  CALVES ;  Total (State) ;
27,0.0004735700786113739,us beef Per Capita Consumption
28,0.0004637241945602,aus_Meat Produced ;  CATTLE (excl. calves) ;  Total (State) Original (tonnes)
29,0.0004356743302196264,us_production_fedral_inspected_total poultry
30,0.00040061387699097395,aus_feed
31,0.00032935745548456907,us_production_commercial_veal
32,0.0002653958508744836,us_cold_storage_beef
33,0.00023973781208042055,us_production_commercial_beef
34,0.0002198376605520025,us_livestock_fedral_inspected_dairy_cows
35,0.00021482721786014736,us_total red meat and poultry
36,0.00020006824342999607,australia cattle numbers
37,0.00019532778242137283,aus_apparent consumption
38,0.00019396802235860378,aus_max_temp
39,0.00019238477398175746,us_livestock_commercial_dairy
40,0.00019190512830391526,us_commercial_avg_live_cattle
41,0.0001875399611890316,us_production_fedral_inspected_total red meat and poultry
42,0.00016448111273348331,us_production_fedral_inspected_veal
43,0.00012835410598199815,aus_min_temp
44,9.820033301366493e-05,aus_total dairy cattle and calves
45,7.351732347160578e-05,us_livestock_fedral_inspected_calves
46,7.1634043706581e-05,aus_Meat Produced ;  CALVES ;  Total (State) ; Seasonally Adjusted
47,6.454640242736787e-05,us_fed_avg_dressed_heifers
48,4.832878403249197e-05,us_fed_avg_dressed_cows
49,3.9532889786642045e-05,us_beef
50,0.0,us_production_fedral_inspected_beef
51,0.0,us_population
52,0.0,us_livestock_fedral_inspected_heifers
53,0.0,us_livestock_fedral_inspected_cattle
54,0.0,us_livestock_fedral_inspected_bulls and stags
55,0.0,us_livestock_fedral_inspected_beef
56,0.0,us_livestock_commercial_heifers
57,0.0,us_livestock_commercial_cattle
58,0.0,us_fed_avg_live_cattle
59,0.0,us_fed_avg_live_calves
60,0.0,us_fed_avg_dressed_steers
61,0.0,us import of beef kt (cw)
62,0.0,us cattle numbers(*1000)
63,0.0,aus_uni_rd
64,0.0,aus_tse
65,0.0,aus_total beef cattle and calves
66,0.0,aus_state_rd
67,0.0,aus_pse
68,0.0,aus_population_estimated resident population
69,0.0,aus_fed_rd
70,0.0,aus_cse
71,0.0,aus_beef&veal_slaughterings
72,0.0,aus_beef&veal_production
73,0.0,aus_beef&veal_exports
74,0.0,aus_beef&veal_average weight
75,0.0,"Value of Australian exports of beef and veal, and live cattle to US "
